Run,Iteration,SMILES,Deep Frag Score,VINA
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(N)c1cc(F)c(F)c2ccccc12,0.621552,-10.16
9,6,Cc1nn(Cc2cc(F)c(F)c3ccc(O)cc23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.928751,-10.16
3,1,O=C(c1cccc(C(F)(F)F)c1)N1CCC(O)(N2CCc3cc(F)ccc32)CC1,0.831103,-10.16
9,4,Cc1nn(Cc2cc(F)cc3cccc(N)c23)c(C)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.639535,-10.16
9,9,CCc1c(C2(OC)N(C=O)C(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.589185,-10.15
4,2,COc1ccccc1C1CC(c2ccc3c(O)cccc3c2)=NN1C(=O)CN1CCN(c2ccccc2C)CC1,0.58247,-10.15
9,5,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CO)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.630866,-10.15
3,3,NC(=O)C1CN(C(=O)c2cccc(C(F)(F)F)c2)C(O)CC1N1CC(N)c2cc(F)ccc21,0.604818,-10.15
8,2,O=C(C(CCO)N1CCN(S(=O)(=O)c2ccc3c(c2)CCCC3)CC1)N1CCc2cc(O)ccc2C1,0.619205,-10.15
9,10,CCc1nn(C(C)c2cc(F)c(F)c3ccccc23)c(CC)c1C1(OC)NC(=O)c2ccc(F)c(F)c2N1F,0.944615,-10.15
9,6,Cc1nn(Cc2cc(F)c(F)c3cccc(O)c23)c(C)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.914371,-10.15
9,7,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.963517,-10.15
4,10,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(O)c(O)c(O)cc4c3)C(F)C2c2cccc(F)c2F)C(OO)C1,0.553179,-10.15
5,4,Cc1cc(C(C)N2C(=O)N(C)C3(CCCc4ccccc43)C2=O)cc2c1OC(CCl)C(O)CO2,0.556582,-10.14
9,3,Cc1nn(Cc2cc(F)cc3ccccc23)c(C)c1C1(C)NC(=O)c2ccc(F)cc2N1,0.743807,-10.14
4,8,Cc1cc(O)c(OC[SeH])cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cc(O)cc4c3)C(F)C2c2cccc(F)c2F)CC1,0.567668,-10.14
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CCS)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.56508,-10.14
9,9,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(C)c1cc(F)c(F)c2ccccc12,0.991039,-10.14
5,6,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCCc4cc(F)ccc43)C2=O)cc2c1OCC(O)CO2,0.842078,-10.14
4,5,CCC(C(=O)N1N=C(c2ccc3c(O)cccc3c2)CC1c1ccccc1F)N1CCN(c2cc(O)c(O)cc2C)CC1,0.761122,-10.14
4,5,Cc1cc(O)c(O)cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cccc4c3C=O)CC2c2ccccc2F)CC1,0.54893,-10.13
5,10,CCC(c1ccccc1)(c1cc2c(c(C(F)F)c1)OCC(O)CO2)N1C(=O)N(C(C)C)C2(CCCc3ccc(F)cc32)C1=O,0.733846,-10.13
